Week,Car Index Change,VIX change,Google Trends,S&P,Tesla (Y_I),Raw Stock
1/10/2020 16:00:00,-0.03134744789,-0.1041369472,29,3265.35,1,31.88
1/17/2020 16:00:00,0.006946797696,-0.03662420382,30,3329.62,1,34.03
1/24/2020 16:00:00,-0.03920578832,0.2033057851,34,3295.47,1,37.65
1/31/2020 16:00:00,-0.05674255692,0.293956044,53,3225.52,1,43.37
2/7/2020 16:00:00,-0.01578165615,-0.1788747346,34,3327.71,1,49.87
2/14/2020 16:00:00,0.01018675722,-0.1157078216,35,3380.16,1,53.34
2/21/2020 16:00:00,0.0009337068161,0.2485380117,36,3337.75,1,60.07
2/28/2020 16:00:00,-0.1044776119,1.348360656,32,2954.22,0,44.53
3/6/2020 16:00:00,-0.095625,0.04562453254,32,2972.37,1,46.9
3/13/2020 16:00:00,-0.1561852108,0.3788745827,30,2711.02,0,36.44
3/20/2020 16:00:00,-0.2055692056,0.1419678368,25,2304.92,0,28.5
3/27/2020 16:00:00,0.1254295533,-0.007571168988,20,2541.47,1,34.29
4/3/2020 16:00:00,-0.1926717557,-0.2859322551,19,2488.65,0,32
4/9/2020 16:00:00,0.3490922844,-0.1096153846,21,2789.82,1,38.2
4/17/2020 16:00:00,-0.001682085786,-0.08447324214,19,2874.56,1,50.26
4/24/2020 16:00:00,-0.05588317888,-0.05819134993,27,2836.74,0,48.34
5/1/2020 16:00:00,0.002082093992,0.03506818814,24,2830.71,0,46.75
5/8/2020 16:00:00,0.09528049866,-0.247647217,29,2929.8,1,54.63
5/15/2020 16:00:00,-0.08943089431,0.1397426733,23,2863.7,0,53.28
5/22/2020 16:00:00,0.1300595238,-0.1169645657,26,2955.45,1,54.46
5/29/2020 16:00:00,-0.002633658151,-0.02308238636,25,3044.31,1,55.67
6/5/2020 16:00:00,0.2329020333,-0.1086877499,33,3193.93,1,59.04
6/12/2020 16:00:00,-0.08888412936,0.4718597064,30,3041.31,1,62.35
6/19/2020 16:00:00,-0.03244005642,-0.02687725132,31,3097.74,1,66.73
6/26/2020 16:00:00,-0.07240038873,-0.0111047836,33,3009.05,0,63.98
7/2/2020 16:00:00,0.03588266108,-0.2029945292,41,3130.01,1,80.58
7/10/2020 16:00:00,-0.01238938053,-0.01408959538,43,3185.04,1,102.98
7/17/2020 16:00:00,0.07270865335,-0.05899596922,48,3224.73,0,100.06
7/24/2020 16:00:00,-0.01336515513,0.006230529595,34,3215.63,0,94.47
7/31/2020 16:00:00,-0.02951136913,-0.05340557276,29,3271.12,1,95.38
8/7/2020 16:00:00,0.08225324028,-0.09198691742,37,3351.28,1,96.85
8/14/2020 16:00:00,0.06886227545,-0.007203962179,45,3372.85,1,110.05
8/21/2020 16:00:00,0.007972419737,0.02222222222,46,3397.16,1,136.67
8/28/2020 16:00:00,0.06926036768,0.01863354037,59,3508.01,1,147.56
9/4/2020 16:00:00,-0.001199520192,0.3392857143,48,3426.96,0,139.44
9/11/2020 16:00:00,0.02642113691,-0.1261788618,43,3340.97,0,124.24
9/18/2020 16:00:00,0.05713728549,-0.03870487533,53,3319.47,1,147.38
9/25/2020 16:00:00,-0.0782143516,0.02129307007,38,3298.46,0,135.78
10/2/2020 16:00:00,-0.001600960576,0.04738438211,34,3348.44,1,138.36
10/9/2020 16:00:00,0.06534375626,-0.0951863916,35,3477.13,1,144.67
10/16/2020 16:00:00,0.03913452493,0.0964,40,3483.81,1,146.56
10/23/2020 16:00:00,0.09560021727,0.005107624954,32,3465.39,0,140.21
10/30/2020 16:00:00,-0.03635762684,0.3800362976,25,3269.96,0,129.35
11/6/2020 16:00:00,0.04750471617,-0.3461336139,28,3509.44,1,143.32
11/13/2020 16:00:00,0.1843483955,-0.07079646018,39,3585.15,0,136.17
11/20/2020 16:00:00,0.0228089577,0.02597402597,38,3557.54,1,163.2
11/27/2020 13:00:00,0.05298013245,-0.1206751055,38,3638.35,1,195.25
12/4/2020 16:00:00,-0.03491207804,-0.002399232246,41,3699.12,1,199.68
12/11/2020 16:00:00,-0.0804628275,0.1212121212,41,3663.46,1,203.33
12/18/2020 16:00:00,0.002314145213,-0.07464607465,41,3709.41,1,231.67
12/24/2020 13:00:00,0.01313131313,0.08066759388,39,3690.01,0,220.59
12/31/2020 16:00:00,0.02549494374,-0.02402402402,48,3703.06,1,235.22
1/8/2021 16:00:00,0.03472222222,-0.05230769231,48,3756.07,1,293.34
1/15/2021 16:00:00,0.1789261745,0.1289424861,38,3824.68,0,275.39
1/22/2021 16:00:00,0.1033815325,-0.09983566146,53,3768.25,1,282.21
