TSLA,,,,
4/8/2022,Date,Close,Weekly Change(Y),Week
11/12/2022,4/8/2022 16:00:00,341.83,,
,4/14/2022 16:00:00,328.33,-0.03949331539,1
,4/22/2022 16:00:00,335.02,0.02037584138,2
,4/29/2022 16:00:00,290.25,-0.1336338129,3
,5/6/2022 16:00:00,288.55,-0.005857019811,4
,5/13/2022 16:00:00,256.53,-0.1109686363,5
,5/20/2022 16:00:00,221.3,-0.1373328656,6
,5/27/2022 16:00:00,253.21,0.1441934026,7
,6/3/2022 16:00:00,234.52,-0.0738122507,8
,6/10/2022 16:00:00,232.23,-0.009764625618,9
,6/17/2022 16:00:00,216.76,-0.06661499376,10
,6/24/2022 16:00:00,245.71,0.133557852,11
,7/1/2022 16:00:00,227.26,-0.07508851899,12
,7/8/2022 16:00:00,250.76,0.1034057907,13
,7/15/2022 16:00:00,240.07,-0.04263040357,14
,7/22/2022 16:00:00,272.24,0.1340025826,15
,7/29/2022 16:00:00,297.15,0.09150014693,16
,8/5/2022 16:00:00,288.17,-0.03022042739,17
,8/12/2022 16:00:00,300.03,0.04115626193,18
,8/19/2022 16:00:00,296.67,-0.01119888011,19
,8/26/2022 16:00:00,288.09,-0.02892102336,20
,9/2/2022 16:00:00,270.21,-0.06206393835,21
,9/9/2022 16:00:00,299.68,0.1090633211,22
,9/16/2022 16:00:00,303.35,0.01224639616,23
,9/23/2022 16:00:00,275.33,-0.09236855118,24
,9/30/2022 16:00:00,265.25,-0.03661061272,25
,10/7/2022 16:00:00,223.07,-0.1590197926,26
,10/14/2022 16:00:00,204.99,-0.08105079123,27
,10/21/2022 16:00:00,214.44,0.04609980975,28
,10/28/2022 16:00:00,228.52,0.0656593919,29
,11/4/2022 16:00:00,207.47,-0.09211447576,30
,11/11/2022 16:00:00,195.97,-0.05542970068,31
,,,-1,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
,,,#DIV/0!,
