headline,date,doc_type,material_type,section,keywords
Two Weeks of Chaos: Inside Elon Musk’s Takeover of Twitter,2022-11-11,article,News,,"['Social Media', 'Online Advertising', 'Layoffs and Job Reductions', 'Computers and the Internet', 'Appointments and Executive Changes', 'Mergers, Acquisitions and Divestitures']"
Peter Thiel Is Latest Billionaire Said to Have Met With Jeffrey Epstein,2023-05-18,article,News,,[]
What Memorable Things Did You Learn in 2022?,2023-01-06,article,News,,[]
Lucid Said It Will Raise Up to $1.5 Billion in Capital,2022-11-08,article,News,,"['Production', 'Electric and Hybrid Vehicles', 'Automobiles', 'Company Reports', 'Factories and Manufacturing']"
G.M. Reports Jump in Profit on Strong Sales,2022-10-25,article,News,,"['Company Reports', 'Automobiles', 'Electric and Hybrid Vehicles', 'Prices (Fares, Fees and Rates)', 'Supply Chain', 'Sports Utility Vehicles and Light Trucks']"
"The New York Times News Quiz, December 10, 2021",2021-12-10,multimedia,Interactive Feature,,['internal-sub-only']
Elon Musk Offered to Buy Twitter at a Lower Price in Recent Talks,2022-10-06,article,News,,"['Social Media', 'Suits and Litigation (Civil)', 'Computers and the Internet', 'Mergers, Acquisitions and Divestitures']"
SpaceX Said to Fire Employees Involved in Letter Rebuking Elon Musk,2022-06-17,article,News,,"['Private Spaceflight', 'Labor and Jobs', 'Workplace Hazards and Violations', 'Sexual Harassment']"
Manchin denounces the Democrats’ plan to tax billionaires as divisive.,2021-10-27,article,News,,"['High Net Worth Individuals', 'Capital Gains Tax', 'Income Tax', 'Law and Legislation', 'United States Politics and Government']"
"The New York Times News Quiz, July 30, 2021",2021-07-30,multimedia,Interactive Feature,,[]
