week,sentiment
2020-01-06/2020-01-12,-0.13396666666666665
2020-01-13/2020-01-19,0.0
2020-01-20/2020-01-26,0.09363
2020-01-27/2020-02-02,0.028142857142857143
2020-02-03/2020-02-09,0.050128571428571446
2020-02-10/2020-02-16,-0.2014
2020-02-17/2020-02-23,-0.10115
2020-02-24/2020-03-01,-0.15589999999999998
2020-03-02/2020-03-08,-0.15315555555555554
2020-03-09/2020-03-15,-0.2023
2020-03-16/2020-03-22,-0.05564545454545455
2020-03-23/2020-03-29,-0.09515714285714286
2020-03-30/2020-04-05,-0.07497999999999999
2020-04-13/2020-04-19,-0.201625
2020-04-20/2020-04-26,0.0
2020-04-27/2020-05-03,-0.147675
2020-05-04/2020-05-10,0.0658
2020-05-11/2020-05-17,-0.12754285714285712
2020-05-18/2020-05-24,-0.01074999999999999
2020-05-25/2020-05-31,-0.038866666666666654
2020-06-01/2020-06-07,0.0
2020-06-08/2020-06-14,-0.13396666666666665
2020-06-15/2020-06-21,0.0985
2020-06-22/2020-06-28,-0.11438
2020-06-29/2020-07-05,0.002728571428571445
2020-07-06/2020-07-12,-0.12136
2020-07-13/2020-07-19,-0.07214999999999999
2020-07-20/2020-07-26,-0.06939999999999999
2020-07-27/2020-08-02,-0.1613
2020-08-03/2020-08-09,-0.029271428571428566
2020-08-10/2020-08-16,-0.19063333333333332
2020-08-17/2020-08-23,-0.3321714285714285
2020-08-24/2020-08-30,-0.0962
2020-08-31/2020-09-06,-0.04149999999999998
2020-09-07/2020-09-13,0.0
2020-09-14/2020-09-20,0.06799999999999999
2020-09-21/2020-09-27,-0.04754545454545454
2020-09-28/2020-10-04,-0.09372499999999999
2020-10-05/2020-10-11,-0.20095
2020-10-12/2020-10-18,-0.20095
2020-10-19/2020-10-25,0.17067500000000002
2020-10-26/2020-11-01,-0.1645285714285714
2020-11-02/2020-11-08,0.3204
2020-11-09/2020-11-15,0.0
2020-11-16/2020-11-22,-0.08707142857142856
2020-11-23/2020-11-29,-0.00739999999999999
2020-11-30/2020-12-06,0.0640875
2020-12-07/2020-12-13,0.3204
2020-12-14/2020-12-20,0.0
2020-12-21/2020-12-27,-0.0686
2020-12-28/2021-01-03,-0.004019999999999991
2021-01-04/2021-01-10,-0.08419285714285714
2021-01-11/2021-01-17,0.05966666666666667
2021-01-18/2021-01-24,-0.012379999999999992
2021-01-25/2021-01-31,-0.05009583333333332
2021-02-01/2021-02-07,-0.01238666666666666
2021-02-08/2021-02-14,-0.0907157894736842
2021-02-15/2021-02-21,-0.026355555555555545
2021-02-22/2021-02-28,-0.06739999999999999
2021-03-01/2021-03-07,-0.19063333333333332
