headline,date,doc_type,material_type,section,keywords
An Oily Challenge: Evict Stinky Old Furnaces in Favor of Heat Pumps,2022-09-14,article,News,,"['Heating', 'Buildings (Structures)', 'Real Estate and Housing (Residential)', 'Energy Efficiency', 'Electric Light and Power', 'Inflation Reduction Act of 2022', 'Global Warming', 'Greenhouse Gas Emissions', 'Oil (Petroleum) and Gasoline']"
"There’s Hot, and Then There’s Hot as … Politics",2022-07-25,article,Op-Ed,,"['Midterm Elections (2022)', 'Storming of the US Capitol (Jan, 2021)', 'United States Politics and Government', 'Global Warming']"
A Stablecoin ‘Death Spiral’,2022-05-12,article,News,,"['Regulation and Deregulation of Industry', 'Bitcoin (Currency)', 'Virtual Currency']"
Alexander Skarsgard’s Viking Dream,2022-04-14,article,News,,"['Movies', 'Content Type: Personal Profile', 'Actors and Actresses', 'Television']"
More Companies Take a Stand on Abortion,2022-04-12,article,News,,['Abortion']
"As Oil Goes Up, Stocks Go Down",2022-03-07,article,News,,"['Russian Invasion of Ukraine (2022)', 'Corporate Social Responsibility', 'Embargoes and Sanctions', 'Oil (Petroleum) and Gasoline']"
How to Keep Things Open,2022-01-03,article,News,,"['Coronavirus Omicron Variant', 'Coronavirus (2019-nCoV)', 'Delays (Transportation)', 'Coronavirus Return to Office']"
What Goes Up …,2021-12-09,article,News,,[]
Meet the Lineup for the DealBook Online Summit,2021-10-20,article,News,,"['Mergers, Acquisitions and Divestitures', 'Video Recordings, Downloads and Streaming']"
Everything Is Getting More Expensive,2021-10-14,article,News,,"['United States Economy', 'Shortages', 'Labor and Jobs', 'Inflation (Economics)', 'Banking and Financial Institutions', 'Ex-Convicts', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Vaccination Proof and Immunization Records', 'Corporate Social Responsibility', 'Interest Rates']"
