headline,date,doc_type,material_type,section,keywords
"How Many Billionaires Are There, Anyway?",2022-04-07,article,News,,"['High Net Worth Individuals', 'United States Economy', 'United States Politics and Government', 'Income Inequality']"
"James Murdoch, Rebellious Scion",2020-10-10,article,News,,"['News and News Media', 'Television', 'United States Politics and Government', 'Content Type: Personal Profile']"
"How Twitter Changed the World, in 25 Tweets",2023-02-10,multimedia,Interactive Feature,,"['Social Media', 'internal-sub-only']"
Can Democrats See What’s Coming?,2022-02-12,article,Op-Ed,,"['Economics (Theory and Philosophy)', 'United States Politics and Government', 'United States Economy', 'Regulation and Deregulation of Industry', 'Alternative and Renewable Energy', 'Corporate Taxes']"
What Is Starship? SpaceX Builds Its Next-Generation Rocket,2022-02-10,article,News,,"['Rocket Science and Propulsion', 'Private Spaceflight', 'Space and Astronomy']"
"Behind the Lordstown Debacle, the Hand of a Wall Street Dealmaker",2021-07-13,article,News,,"['Special Purpose Acquisition Companies (SPAC)', 'Mergers, Acquisitions and Divestitures', 'Automobiles', 'Electric and Hybrid Vehicles', 'Banking and Financial Institutions', 'Suits and Litigation (Civil)']"
They Were on Equal Footing. Then the Ground Shifted.,2021-02-27,article,News,,"['Coronavirus (2019-nCoV)', 'Labor and Jobs', 'Layoffs and Job Reductions', 'United States Economy', 'Shutdowns (Institutional)', 'Unemployment', 'Income Inequality', 'Income', 'Stimulus (Economic)', 'Content Type: Personal Profile']"
Losses Pile Up in FTX Bankruptcy Turmoil,2022-11-23,article,News,,[]
Sam Bankman-Fried’s ‘House of Cards’ Teeters,2022-12-13,article,News,,"['Securities and Commodities Violations', 'Elections', 'United States Politics and Government']"
"The Alarming Rise of Peter Thiel, Tech Mogul and Political Provocateur",2021-09-21,article,Review,,"['Books and Literature', 'Presidential Election of 2016', 'Right-Wing Extremism and Alt-Right']"
